Number,IndividualID,ID2,Population,DaysSurvived,MaxInfLoad,Log10MaxInfLoad,Sex,FullSiblingGroup,Age,InitialLength,InitialMass,FinalLength,FinalMass,InfLDWeek1,InfLDWeek2,InfLDWeek3,InfLDWeek4,InfLDWeek5,InfLDWeek6,InfLDWeek7,InfLDWeek8,InfLDWeek9,InfLDWeek10,InfLDWeek11,InfLDWeek12
28,j_18,18j,j,NA,NA,NA,0,NA,6,28.72,1.77,26.2,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,c_15,15c,c,103,18737,4.272701016,NA,1,6,29.27,2,28.15,1.63,1.6667,0,0,0,18737.0414,0,2713.3876,3.3334,NA,0,0,NA
44,m_15,15m,m,103,125616,5.099044426,NA,NA,6,27.51,1.6,26.55,1.55,0,0,0,0,125615.8456,20.0004,0,0,0,146.6696,0,0
47,m_18,18m,m,103,747737,5.873748651,0,13,6,26.97,1.81,27.15,1.72,0,0,0,0,747736.6211,0,0,3.3334,NA,0,18.3337,6.6668
52,m_23,23m,m,103,6938,3.841263846,NA,15,NA,30.03,1.76,30.2,1.62,5.0001,0,0,0,6938.4721,3.3334,NA,0,31.6673,1.6667,0,0
55,m_32,32m,m,103,104162,5.017709657,NA,16,NA,28.64,1.76,27.4,1.65,0,1.6667,0,0,104162.0832,3.3334,NA,0,3.3334,215.0043,0,NA
41,m_12,12m,m,94,32962,4.518017849,NA,14,6,28,1.8,23,1.47,0,0,0,0,4340.0868,3.3334,30.0006,0,55.0011,2460.0492,13900.278,32962.3259
9,c_19,19c,c,83,94572,4.975762075,1,4,6,25.74,0.96,22.7,0.84,25.0005,98.3353,18.3337,141.6695,13238.5981,1513.3636,2790.0558,6010.1202,1873.3708,9106.8488,57509.4835,94571.8914
60,m_9,9m,m,83,768319,5.885541403,0,14,6,28.86,1.88,23,1.44,1.6667,0,13.3336,3.3334,768318.6994,728.3479,1673.3668,1338.3601,2783.389,3241.7315,87391.7478,102952.059
30,j_20,20j,j,81,100112,5.000486138,1,NA,6,27.82,1.37,27.1,1.13,3.3334,41.6675,40.0008,118.3357,30037.2674,613.3456,1156.6898,975.0195,4458.4225,17407.0148,56326.1265,100112.0022
40,m_11,11m,m,73,183769,5.264272252,1,13,6,23.63,1.19,25.9,1.49,0,23.3338,38.3341,56.6678,53727.7412,625.0125,3321.7331,17048.6743,13500.27,76183.1903,183768.6753,NA
37,j_27,27j,j,72,1765500,6.246867798,0,NA,NA,25.52,0.98,22.52,0.84,0,0,0,133.336,1765500.309,1490.0298,NA,28832.2433,78789.9091,172221.7777,209637.526,NA
71,s_4,4s,s,70,492750,5.692626505,0,18,6,30.16,1.78,24.3,1.42,0,453.3424,38.3341,33.334,25833.85,510.0102,1985.0397,14621.9591,92161.8432,NA,492749.8548,NA
51,m_22,22m,m,68,90728,4.957743641,1,14,6,26.94,1.52,22.9,1.34,0,73.3348,75.0015,645.0129,5736.7814,2388.3811,2105.0421,3570.0714,63422.9351,90728.4812,NA,NA
12,c_3,3c,c,67,195474,5.291089,1,8,6,27.92,1.53,24.65,1.39,0,3.3334,8.3335,25.0005,168711.7075,276.6722,3373.4008,2366.714,3873.4108,195473.9094,NA,NA
29,j_19,19j,j,60,809683,5.908314946,1,NA,NA,24.56,1.32,26.2,1.17,18.3337,30.0006,2090.0418,1385.0277,809682.86,5565.1113,30035.6007,296.6726,133245.9982,NA,NA,NA
19,c_8,8c,c,58,198752,5.298312181,1,NA,NA,26.2,1.32,24.35,1.16,3.3334,213.3376,281.6723,201.6707,198752.3083,2975.0595,6623.4658,28912.2449,40469.1427,NA,NA,NA
64,s_16,16s,s,58,226278,5.354642331,1,17,6,26.73,1.56,23.95,1.32,0,50.001,171.6701,371.6741,93178.5302,4746.7616,9540.1908,41644.1662,226277.8588,NA,NA,NA
